disagreement_rank,ingredient_name,cas,smiles_canonical,mw,logp,tpsa,hbd,hba,toxicity_mean,toxicity_std,toxicity_q95,toxicity_lo95,toxicity_hi95,permeability_mean,permeability_std,permeability_q95,permeability_lo95,permeability_hi95,iri_mean,iri_std,iri_q95,iri_lo95,iri_hi95,pareto,composite_score,chemberta_toxicity_mean,chemberta_toxicity_std,chemberta_permeability_mean,chemberta_permeability_std,chemberta_iri_mean,chemberta_iri_std,rf_toxicity_mean,rf_toxicity_std,rf_permeability_mean,rf_permeability_std,rf_iri_mean,rf_iri_std,disagreement_toxicity,disagreement_permeability,disagreement_iri,disagreement_toxicity_z,disagreement_permeability_z,disagreement_iri_z,disagreement_l2
11,ISOMALT,64519820.0,OCC(O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,344.313,-5.761199999999992,200.52999999999997,9,11,56.57934112548829,1.5551782825272449,61.101409408569246,-4.522068283080962,117.68075053405752,25.719405364990234,0.8494104506380971,42.27190872192383,-16.552503356933595,67.99131408691406,71.39582214355468,0.8053569792435445,47.490009947421136,23.905812196133542,118.8858320909758,False,0.3083509199717686,56.57934112548829,1.5551782825272449,25.719405364990234,0.8494104506380971,71.39582214355468,0.8053569792435445,59.907999999999994,0.5463185883712908,7.854906666666719,0.5055755271854929,70.49190256613734,0.3121470315761112,3.328658874511703,17.864498698323516,0.9039195774173407,-0.6503813628174905,2.5554119731368146,-1.084528572113739,2.8511977296010866
12,MALTITOL,585886.0,OC[C@@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO,344.3130000000001,-5.761199999999992,200.52999999999997,9,11,54.35560150146485,1.403007346524643,61.101409408569246,-6.7458079071044,115.45701091003409,25.3113525390625,0.8346516067818154,42.27190872192383,-16.96055618286133,67.58326126098633,71.32947235107422,0.798646790653724,47.490009947421136,23.83946240365308,118.81948229849536,False,0.3265584971938377,54.35560150146485,1.403007346524643,25.3113525390625,0.8346516067818154,71.32947235107422,0.798646790653724,59.907999999999994,0.5463185883712908,7.854906666666719,0.5055755271854929,71.23265769841247,0.4490324417000869,5.5523984985351476,17.456445872395783,0.09681465266174882,-0.2787707425017616,2.465112862929283,-1.1833871669763063,2.748617787328496
13,ETHYLENE GLYCOL,107211.0,OCCO,62.068000000000005,-1.029,40.46,2,2,33.96122283935547,1.010039257213628,61.101409408569246,-27.140186569213775,95.06263224792472,14.82756118774414,0.5059936579053259,42.27190872192383,-27.444347534179688,57.099469909667974,60.7356674194336,1.5972377911266606,47.490009947421136,13.24565747201246,108.22567736685474,True,0.3870201737408526,33.96122283935547,1.010039257213628,14.82756118774414,0.5059936579053259,60.7356674194336,1.5972377911266606,12.397333333333334,0.3112355306766178,18.167353333333185,0.2854497001029937,72.21744997354503,0.7706206684574911,21.563889506022136,3.339792145589046,11.481782554111433,2.396920260704117,-0.6587995073387704,0.21110553746800312,2.4947563157537758
14,ANHYDROUS DEXTROSE,2280446.0,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,180.156,-3.2214000000000005,110.38,5,6,52.326114654541016,2.2408170144751156,61.101409408569246,-8.77529475402823,113.42752406311028,24.257975769042968,0.8032222027025493,42.27190872192383,-18.01393295288086,66.5298844909668,80.04337463378906,1.78254055908168,47.490009947421136,32.55336468636792,127.5333845812102,False,0.2151122653378117,52.326114654541016,2.2408170144751156,24.257975769042968,0.8032222027025493,80.04337463378906,1.78254055908168,54.33377777777778,0.6932449373849602,10.245960000000032,0.6488104678563666,77.69658575036082,0.0509955704727381,2.0076631232367674,14.012015769042936,2.346788883428232,-0.8711338489730124,1.7028856370850447,-0.9077981027689279,2.1172602747909712
15,GALACTOSE,19217073.0,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,180.156,-3.2214000000000005,110.38,5,6,52.326114654541016,2.2408170144751156,61.101409408569246,-8.77529475402823,113.42752406311028,24.257975769042968,0.8032222027025493,42.27190872192383,-18.01393295288086,66.5298844909668,80.04337463378906,1.78254055908168,47.490009947421136,32.55336468636792,127.5333845812102,False,0.2151122653378117,52.326114654541016,2.2408170144751156,24.257975769042968,0.8032222027025493,80.04337463378906,1.78254055908168,54.33377777777778,0.6932449373849602,10.245960000000032,0.6488104678563666,77.69658575036082,0.0509955704727381,2.0076631232367674,14.012015769042936,2.346788883428232,-0.8711338489730124,1.7028856370850447,-0.9077981027689279,2.1172602747909712
16,METHYL ETHYL KETONE,78933.0,CCC(C)=O,72.10699999999999,0.9854,17.07,0,1,61.336673736572266,2.7726743582604265,61.101409408569246,0.2352643280030193,122.43808314514152,26.10703468322754,0.6726673475586389,42.27190872192383,-16.16487403869629,68.37894340515138,47.637168884277344,0.7913420659138128,47.490009947421136,0.1471589368562078,95.12717883169849,False,0.4209782418839163,61.336673736572266,2.7726743582604265,26.10703468322754,0.6726673475586389,47.637168884277344,0.7913420659138128,59.952666666666666,2.1419345357773087,25.96031333333322,0.7354778637653724,67.72637238095233,1.0071108966404818,1.3840070699056,0.1467213498943174,20.089203496674983,-0.9753534304106687,-1.3654027541741511,1.265389204526709,2.1016300421941425
17,DEXTROSE MONOHYDRATE,77029619.0,O.OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,198.171,-4.0461,141.88000000000002,5,6,56.8002326965332,2.401809979786384,61.101409408569246,-4.301176712036046,117.90164210510244,24.92959060668945,0.823987672396179,42.27190872192383,-17.342318115234377,67.20149932861328,82.29925994873047,1.7102805675316324,47.490009947421136,34.80925000130933,129.7892698961516,False,0.167359544091063,56.8002326965332,2.401809979786384,24.92959060668945,0.823987672396179,82.29925994873047,1.7102805675316324,54.34444444444444,0.702551188768125,10.19745333333337,0.6615583026629004,76.87521059163066,0.3473592585033552,2.455788252088759,14.732137273356082,5.424049357099804,-0.7962473580760013,1.8622432666589723,-0.5308785262400005,2.093750665452419
18,AMMONIUM ACETATE,631618.0,CC(=O)[O-].[NH4+],77.083,-0.8676000000000001,76.63,1,2,60.70139083862305,1.4375944573326518,61.101409408569246,-0.400018569946198,121.8028002471923,22.931043243408205,0.7543825551017174,42.27190872192383,-19.340865478515624,65.20295196533203,51.66928329467773,1.2784302760714434,47.490009947421136,4.179273347256597,99.15929324209888,False,0.3433174019417113,60.70139083862305,1.4375944573326518,22.931043243408205,0.7543825551017174,51.66928329467773,1.2784302760714434,58.31866666666667,1.9443225612593775,18.926913333333275,0.1669176454289858,76.59604052910059,0.7543258664788067,2.382724171956376,4.00412991007493,24.92675723442286,-0.808457145520301,-0.5117864119780237,1.8579190608285199,2.0898305013129894
19,SERINE,56451.0,N[C@@H](CO)C(=O)O,105.093,-1.6093999999999995,83.55,3,3,54.70641403198242,0.5473501242805476,61.101409408569246,-6.394995376586827,115.80782344055166,28.37544479370117,0.999368511207416,42.27190872192383,-13.89646392822266,70.647353515625,61.73091125488281,0.6166896595869072,47.490009947421136,14.240901307461677,109.22092120230394,False,0.4673361101492453,54.70641403198242,0.5473501242805476,28.37544479370117,0.999368511207416,61.73091125488281,0.6166896595869072,49.412777777777784,0.7253893122461827,14.72775333333333,1.211264373601216,81.4000522222222,0.3103303888192628,5.293636254204635,13.64769146036784,19.669140967339388,-0.3220126747366022,1.6222633283789616,1.2139376644222943,2.0516030616074987
20,GLUCONOLACTONE,90802.0,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,178.14,-3.0132000000000008,107.22,4,6,52.1592529296875,1.906162358133088,61.101409408569246,-8.94215647888175,113.26066233825674,24.666029357910155,0.8155191939284053,42.27190872192383,-17.605879364013674,66.93793807983398,75.75277404785156,1.5313179919461797,47.490009947421136,28.262764100430424,123.2427839952727,False,0.2699355594405709,52.1592529296875,1.906162358133088,24.666029357910155,0.8155191939284053,75.75277404785156,1.5313179919461797,54.60111111111112,0.816177419588973,11.192413333333365,0.867327363392211,74.18880047619051,0.4725734663553199,2.441858181423626,13.47361602457679,1.5639735716610517,-0.7985752215295229,1.5837417057797742,-1.003681573907009,2.0379737183947215
