novel_rank,ingredient_name,cas,smiles_canonical,mw,logp,tpsa,hbd,hba,toxicity_mean,toxicity_std,toxicity_q95,toxicity_lo95,toxicity_hi95,permeability_mean,permeability_std,permeability_q95,permeability_lo95,permeability_hi95,iri_mean,iri_std,iri_q95,iri_lo95,iri_hi95,pareto,composite_score
11,METHYLPARABEN,99763.0,COC(=O)c1ccc(O)cc1,152.149,1.1788,46.53,1,3,60.82603454589844,1.6808616196774948,61.101409408569246,-0.2753748626708088,121.92744395446768,24.51241149902344,0.8388057914269007,42.27190872192383,-17.759497222900393,66.78432022094727,37.87826309204102,0.8272279285836841,47.490009947421136,-9.61174685538012,85.36827303946215,False,0.4733175781483286
12,MALTOL,118718.0,Cc1occc(=O)c1O,126.11099999999998,0.6538199999999998,50.44,1,3,58.47413177490235,1.4526704174476612,61.101409408569246,-2.6272776336669,119.5755411834716,25.380013275146485,0.7693309141752429,42.27190872192383,-16.891895446777344,67.65192199707032,43.45162048339844,1.3327840199889522,47.490009947421136,-4.0383894640227,90.94163043081956,False,0.4694625873023017
13,ALCOHOL,8024451.0,CCO,46.069,-0.0014,20.23,1,1,53.40770416259765,3.1268626746461488,61.101409408569246,-7.693705245971593,114.50911357116688,26.545072174072267,0.7114843275297535,42.27190872192383,-15.726836547851562,68.8169808959961,49.78523406982422,1.1686737562896206,47.490009947421136,2.2952241224030843,97.27524401724536,True,0.4681078110598209
14,PROPYL ALCOHOL,71238.0,CCCO,60.096,0.3887,20.23,1,1,51.10983047485352,3.28850295547399,61.101409408569246,-9.99157893371573,112.21123988342276,26.456421661376957,0.5810163217370953,42.27190872192383,-15.815487060546875,68.72833038330079,55.92809371948242,0.8915192305808485,47.490009947421136,8.438083772061283,103.41810366690356,True,0.4599309577169691
15,PROPYL GALLATE,121799.0,CCCOC(=O)c1cc(O)c(O)c(O)c1,212.201,1.3702,86.99000000000001,3,5,58.62491149902344,1.2146531991048517,61.101409408569246,-2.476497909545806,119.72632090759268,24.163893508911134,0.786947640124794,42.27190872192383,-18.108015213012692,66.43580223083497,43.99347457885742,0.9495943315646556,47.490009947421136,-3.4965353685637126,91.48348452627856,False,0.4554654085087986
16,BUTYL ALCOHOL,71363.0,CCCCO,74.12299999999999,0.7787999999999999,20.23,1,1,53.4077033996582,3.273133874873224,61.101409408569246,-7.693706008911043,114.50911280822746,27.050901794433592,0.4792764116619623,42.27190872192383,-15.221006927490237,69.32281051635742,54.01501541137695,1.4446425532755645,47.490009947421136,6.525005463955814,101.5050253587981,True,0.4538320707395867
17,METHYL SALICYLATE,68917759.0,COC(=O)c1ccccc1O,152.14899999999997,1.1787999999999998,46.53,1,3,62.14283828735351,1.942312664214626,61.101409408569246,1.0414288787842665,123.24424769592277,24.59389190673828,0.6742588164908908,42.27190872192383,-17.678016815185547,66.86580062866211,40.22261199951172,0.8208474441645501,47.490009947421136,-7.267397947909416,87.71262194693286,False,0.4520494456923253
18,ETHYL MALTOL,4940118.0,CCc1occc(=O)c1O,140.13799999999998,0.9078,50.44,1,3,60.09827423095703,1.6395243297911035,61.101409408569246,-1.003135177612215,121.19968363952628,25.56122550964356,0.7118655820332436,42.27190872192383,-16.710683212280273,67.83313423156739,44.10405807495117,1.4692907576810266,47.490009947421136,-3.385951872469967,91.59406802237233,False,0.4485691371425028
19,ACETONE,67641.0,CC(C)=O,58.080000000000005,0.5952999999999999,17.07,0,1,58.70997619628906,2.6560015616098136,61.101409408569246,-2.391433212280184,119.81138560485832,26.7519229888916,0.7369338674615994,42.27190872192383,-15.519985733032229,69.02383171081543,48.085028076171874,1.1439538419549464,47.490009947421136,0.5950181287507377,95.575038023593,True,0.4433554169491942
20,LYSINE MONOHYDRATE,39665128.0,NCCCC[C@H](N)C(=O)O.O,164.20499999999998,-1.297399999999999,120.84,3,3,59.71630020141602,0.7313607930904348,61.101409408569246,-1.3851092071532278,120.81770960998526,27.231678771972657,0.7033689689855324,42.27190872192383,-15.040229949951172,69.50358749389649,57.60341873168945,0.6320884336906116,47.490009947421136,10.113408784268316,105.0934286791106,True,0.4410625916936629
