ingredient_name,cas,smiles_canonical,mw,logp,tpsa,hbd,hba,toxicity_mean,toxicity_std,toxicity_q95,toxicity_lo95,toxicity_hi95,permeability_mean,permeability_std,permeability_q95,permeability_lo95,permeability_hi95,iri_mean,iri_std,iri_q95,iri_lo95,iri_hi95,pareto,composite_score,chemberta_toxicity_mean,chemberta_toxicity_std,chemberta_permeability_mean,chemberta_permeability_std,chemberta_iri_mean,chemberta_iri_std,rf_toxicity_mean,rf_toxicity_std,rf_permeability_mean,rf_permeability_std,rf_iri_mean,rf_iri_std
DIAZOLIDINYL UREA,78491028.0,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,278.221,-3.6124999999999985,153.88,5,7,54.423954010009766,0.919516744553423,61.101409408569246,-6.677455398559481,115.52536341857902,23.256964492797852,0.4727759386055448,42.27190872192383,-19.014944229125977,65.52887321472168,51.95541687011719,1.370457425702141,47.490009947421136,4.465406922696054,99.44542681753832,False,0.4380007691867146,54.423954010009766,0.919516744553423,23.256964492797852,0.4727759386055448,51.95541687011719,1.370457425702141,56.995666666666665,0.7870867522424421,11.161426666666687,0.6994241635961794,60.91041283309272,1.2571307850293154
DIETHANOLAMINE,111422.0,OCCNCCO,105.137,-1.4393999999999998,52.489999999999995,3,3,44.937940216064455,1.839671574366451,61.101409408569246,-16.16346919250479,106.0393496246337,14.139216232299804,0.3534413583450153,42.27190872192383,-28.132692489624024,56.41112495422364,62.39440689086914,1.6686615340688364,47.490009947421136,14.904396943448006,109.88441683829028,False,0.2452703057499209,44.937940216064455,1.839671574366451,14.139216232299804,0.3534413583450153,62.39440689086914,1.6686615340688364,37.63333333333333,1.1039677934110608,14.133106666666626,0.5920112830756596,71.90660717171723,0.6176301804597548
DIETHYLENE GLYCOL MONOETHYL ETHER,111900.0,CCOCCOCCO,134.175,0.0317999999999998,38.69,1,3,66.63404388427735,1.3606607720066253,61.101409408569246,5.5326344757081,127.7354532928466,21.24863929748535,0.3204408893725076,42.27190872192383,-21.02326942443848,63.520548019409176,60.33204116821289,1.1280772121041822,47.490009947421136,12.842031220791752,107.82205111563404,False,0.2292941548448476,66.63404388427735,1.3606607720066253,21.24863929748535,0.3204408893725076,60.33204116821289,1.1280772121041822,68.704,0.4565289330005983,16.077653333333398,0.48475253132110585,54.34040177489166,0.6263485146365123
DIISOPROPANOLAMINE,110974.0,CC(O)CNCC(C)O,133.191,-0.6623999999999999,52.489999999999995,3,3,62.1910888671875,1.0876912379727943,61.101409408569246,1.0896794586182563,123.29249827575674,26.44599266052246,0.3280818715322879,42.27190872192383,-15.825916061401369,68.71790138244629,60.86283798217774,0.8828601600690039,47.490009947421136,13.3728280347566,108.35284792959888,False,0.3893388172094715,62.1910888671875,1.0876912379727943,26.44599266052246,0.3280818715322879,60.86283798217774,0.8828601600690039,58.574999999999996,1.8167753484310245,21.862133333333293,0.5446785332856523,62.57086486772486,2.2720096447741085
DIMETHOXANE,828002.0,CC(=O)OC1CC(C)OC(C)O1,174.196,1.0470000000000002,44.760000000000005,0,4,65.73339309692383,1.7950146115645345,61.101409408569246,4.6319836883545875,126.83480250549307,25.99926338195801,0.6716108239209971,42.27190872192383,-16.27264533996582,68.27117210388184,59.817832946777344,1.4822175244683382,47.490009947421136,12.327822999356208,107.30784289419849,False,0.292947471449334,65.73339309692383,1.7950146115645345,25.99926338195801,0.6716108239209971,59.817832946777344,1.4822175244683382,74.35266666666666,1.342714001151731,18.08422666666664,0.1294165701223127,51.81846214285695,1.134443691381115
DIMETHYL ISOSORBIDE,5306854.0,CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,174.19599999999997,-0.1860000000000001,36.92,0,4,61.46483459472656,3.5495531469283765,61.101409408569246,0.3634251861573148,122.5662440032958,24.66268844604492,0.6800893039779304,42.27190872192383,-17.609220275878908,66.93459716796875,69.89190063476562,1.4458854681522808,47.490009947421136,22.401890687344483,117.38191058218676,False,0.1953829533307757,61.46483459472656,3.5495531469283765,24.66268844604492,0.6800893039779304,69.89190063476562,1.4458854681522808,68.956,1.1723219125592867,20.940566666666637,0.31110660309432403,59.40233378306859,0.908070627415378
DIMETHYL SULFOXIDE,67685.0,CS(C)=O,78.136,-0.0052999999999999,17.07,0,1,58.52212982177734,2.0379425799822375,61.101409408569246,-2.5792795867919054,119.62353923034658,26.00882339477539,0.8479999958784056,42.27190872192383,-16.26308532714844,68.28073211669923,54.63496856689453,1.2211250858294516,47.490009947421136,7.1449586194733925,102.12497851431569,False,0.3881535506818894,58.52212982177734,2.0379425799822375,26.00882339477539,0.8479999958784056,54.63496856689453,1.2211250858294516,14.164666666666667,1.4686777121690864,22.566280000000077,0.07456584383393386,67.91507291005296,0.3668953020935083
DIPROPYLENE GLYCOL,25265718.0,CC(CO)OC(C)CO.CC(O)COCC(C)O,268.34999999999997,-0.4708,99.38,4,6,66.80291748046875,0.8640075802621984,61.101409408569246,5.701508071899504,127.904326889038,25.06147994995117,0.5104824665366742,42.27190872192383,-17.21042877197266,67.333388671875,52.476881408691405,1.042682414440961,47.490009947421136,4.986871461270269,99.96689135611254,False,0.3618500172344128,66.80291748046875,0.8640075802621984,25.06147994995117,0.5104824665366742,52.476881408691405,1.042682414440961,60.13466666666667,0.7727463289391208,18.467193333333338,0.8817474795477974,61.97941185185181,1.5927960421523177
DL-LACTIDE AND GLYCOLIDE (50:50) COPOLYMER 12000 ACID,26780507.0,CC1OC(=O)C(C)OC1=O.O=C1COC(=O)CO1,260.1979999999999,-1.0501999999999994,105.2,0,8,61.75684356689453,1.863906576735843,61.101409408569246,0.655434158325285,122.85825297546378,23.893759536743165,0.5262349856492412,42.27190872192383,-18.378149185180664,66.165668258667,49.48113250732422,1.1914713292712535,47.490009947421136,1.9911225599030828,96.97114245474536,False,0.3776609782485948,61.75684356689453,1.863906576735843,23.893759536743165,0.5262349856492412,49.48113250732422,1.1914713292712535,62.947333333333326,0.85207250604368,18.13358666666664,0.7304425911885339,59.50706194083676,0.8870104207615305
DMDM HYDANTOIN,6440580.0,CC1(C)C(=O)N(CO)C(=O)N1CO,188.183,-1.0712000000000002,81.08000000000001,2,4,62.126756286621095,1.526857772856823,61.101409408569246,1.0253468780518489,123.22816569519034,25.11015090942383,0.2692879375956665,42.27190872192383,-17.1617578125,67.38205963134766,52.89795989990235,1.5005078575888111,47.490009947421136,5.407949952481211,100.38796984732348,False,0.3923048237623379,62.126756286621095,1.526857772856823,25.11015090942383,0.2692879375956665,52.89795989990235,1.5005078575888111,56.29966666666667,0.6719793316927396,15.46978666666667,0.6021355719621739,57.11348147667136,0.7872228335051112
