rank,name_a,name_b,smi_a,smi_b,tox_pred,tox_unc,perm_pred,perm_unc,iri_pred,iri_unc,composite_score
3210,DIAZOLIDINYL UREA,NIACINAMIDE,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,NC(=O)c1cccnc1,54.878266666666676,2.0609519267669585,35.726467999999954,1.1803428596539176,48.55703344805193,1.4191665708743193,0.49423206243157536
3211,MALIC ACID,NITRIC ACID,O=C(O)CC(O)C(=O)O,O=[N+]([O-])O,42.254866666666665,2.2341413224970537,39.60072799999991,1.4420479521014589,67.16247353174606,1.1166465203761546,0.4942253170276561
3212,"MALIC ACID, L-",NITRIC ACID,O=C(O)C[C@H](O)C(=O)O,O=[N+]([O-])O,42.254866666666665,2.2341413224970537,39.60072799999991,1.442047952101458,67.16247353174606,1.1166465203761573,0.4942253170276561
3213,ETHYL BUTYRATE,"N,N-DIMETHYLACETAMIDE",CCCC(=O)OCC,CC(=O)N(C)C,52.9988,2.8473330679778224,44.912395999999866,1.2748618028570664,63.9829355396825,1.4874706586259792,0.4942218291237928
3214,ACETIC ACID,"N,N-DIMETHYLACETAMIDE",CC(O)(O)O,CC(=O)N(C)C,37.717200000000005,2.706338042447764,39.784323999999884,1.0256688166459909,71.85004971428577,1.2020542800590825,0.494220394261167
3215,CREATININE,LYSINE,CN1CC(=O)N=C1N,NCCCC[C@H](N)C(=O)O,46.7886,2.060505103123988,39.272503999999905,1.5443064800174786,62.37874380952364,0.9259498359178868,0.4942060977792701
3216,ASPARTAME,HEXYLENE GLYCOL,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,CC(O)CC(C)(C)O,77.2288,2.238270761101077,48.56616799999995,1.6563153800553587,45.40455621428568,1.834413080254351,0.4942004100313178
3217,"1,4-SORBITAN",SACCHARIN,OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,O=C1NS(=O)(=O)c2ccccc21,47.12786666666666,1.9918329425710153,33.31180399999995,1.1873742628438526,53.22601837301583,0.7689500959595772,0.49417913535187963
3218,BENZOCAINE,ETHYLENE GLYCOL,CCOC(=O)c1ccc(N)cc1,OCCO,61.377599999999994,0.9656681003326141,41.50736799999978,1.1814020108328662,52.1815527777778,1.5419906526669218,0.49412549722066906
3219,MONOTHIOGLYCEROL,TERT-BUTYL ALCOHOL,OCC(O)CS,CC(C)(C)O,40.3832,1.4551841914723767,40.509891999999894,1.2450452161170606,71.07681019841274,1.51678064805435,0.49411710687057436
3220,METHYL ETHYL KETONE,PROPYL GALLATE,CCC(C)=O,CCCOC(=O)c1cc(O)c(O)c(O)c1,62.928,2.639180054486621,44.75702399999987,1.305587535749307,54.10511041269835,1.4090407300829022,0.4940863394531761
3221,LYSINE MONOHYDRATE,SULFUROUS ACID,NCCCC[C@H](N)C(=O)O.O,O=S(O)O,44.697799999999994,2.292206114447631,39.869195999999945,1.3606378532085663,65.57025818253956,0.7558919299687259,0.4940817898950059
3222,CARAMEL,DIMETHOXANE,CC1CC(C)C(=O)C1=O,CC(=O)OC1CC(C)OC(C)O1,58.705999999999996,2.529519669818759,42.538463999999934,1.2458295979916354,54.409300982683774,1.998071105017564,0.4940796458878084
3223,PROLINE,PROPIONIC ACID,O=C(O)[C@@H]1CCCN1,CCC(=O)O,46.89919999999999,2.3298122766533034,50.66942399999978,1.1462523844529084,80.51331961904773,0.8293591194869665,0.4940760874596045
3224,ETHYLENE GLYCOL MONOETHYL ETHER,LYSINE MONOHYDRATE,CCOCCO,NCCCC[C@H](N)C(=O)O.O,44.697799999999994,1.9423198912640514,38.00923599999993,1.2382324280941743,62.31565810389591,1.554131303211368,0.49406248133811126
3225,PECTIN,VALINE,O=C(O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,CC(C)[C@H](N)C(=O)O,48.534000000000006,2.684575351480709,41.46137599999993,1.3859974173713296,63.181920364801876,1.4237916040906076,0.49401005579046364
3226,SACCHARIN,TROLAMINE,O=C1NS(=O)(=O)c2ccccc21,OCCN(CCO)CCO,47.12786666666666,1.6547760909292568,31.74257999999994,0.6930882713190208,51.411716167388164,0.9898778604612511,0.4940090165746776
3227,"LACTIC ACID, L-",MONOTHIOGLYCEROL,C[C@H](O)C(=O)O,OCC(O)CS,37.928399999999996,2.0887180544800947,41.982491999999866,1.18187615389092,76.17332135714301,0.6721450664566773,0.4939700054723663
3228,LACTIC ACID,MONOTHIOGLYCEROL,CC(O)C(=O)O,OCC(O)CS,37.928399999999996,2.0887180544800947,41.982491999999866,1.1818761538909213,76.17332135714301,0.6721450664566841,0.49397000547236625
3229,HEXYLENE GLYCOL,VALINE,CC(O)CC(C)(C)O,CC(C)[C@H](N)C(=O)O,77.2288,2.766303989080013,55.422947999999906,1.2999033595956242,55.93138938095243,2.0254397276672345,0.4939617742952195
3230,ARGININE,WAX,NC(N)=NCCC[C@H](N)C(=O)O,Nc1cccc(C(=O)N2CCOCC2)c1,53.62186666666666,2.251143405274552,36.471915999999936,1.5598100838448146,51.02030650793633,0.9019409543683847,0.4939546676450188
3231,ACETIC ANHYDRIDE,SULFUROUS ACID,CC(=O)OC(C)=O,O=S(O)O,45.790800000000004,2.213866136673831,43.787399999999906,1.0751155513562285,69.94179419841274,1.8756376340565346,0.49395279515692
3232,GALACTOSE MONOHYDRATE,VALINE,O.O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,CC(C)[C@H](N)C(=O)O,48.534000000000006,2.416481706945037,41.95317999999988,1.5588749447110823,64.22138839438341,1.2884606546826167,0.4939000375024593
3233,"1,2,6-HEXANETRIOL",MALEIC ACID,OCCCCC(O)CO,O=C(O)/C=C\C(=O)O,42.06186666666667,1.9542045110763389,36.785811999999886,1.1266165709273044,63.56010719597071,1.1788049958197977,0.4938503311082717
3234,"1,2,6-HEXANETRIOL",FUMARIC ACID,OCCCCC(O)CO,O=C(O)/C=C/C(=O)O,42.06186666666667,1.9542045110763389,36.785811999999886,1.1266165709273017,63.560107195970716,1.178804995819792,0.49385033110827165
3235,2-AMINOETHANOL,ETHYL BUTYRATE,NCCO,CCCC(=O)OCC,52.9988,1.6666794026180058,44.441815999999804,1.0222536080171019,64.9730195238095,1.3075159328456405,0.4938241693592959
3236,TARTARIC ACID,WAX,O=C(O)C(O)C(O)C(=O)O,Nc1cccc(C(=O)N2CCOCC2)c1,53.62186666666666,2.3593789540658547,35.63780399999994,1.623368481418795,49.44653273015877,1.029789939239506,0.4938151963438108
3237,METHYLPYRROLIDONE,MONOTHIOGLYCEROL,CN1CCCC1=O,OCC(O)CS,39.4092,2.627997456450655,40.84348399999992,1.1269914375113905,71.83059142063487,1.3017434587022045,0.49380644711509264
3238,METHYL SALICYLATE,TROMETHAMINE,COC(=O)c1ccccc1O,NC(CO)(CO)CO,49.8368,2.2339016908638665,35.348467999999905,1.1591739613776635,53.003940262626315,1.394877461062497,0.4938010635497736
3239,"LACTIC ACID, L-",LYSINE ACETATE,C[C@H](O)C(=O)O,CC(=O)O.NCCCC[C@H](N)C(=O)O,52.114599999999996,1.7776498192838766,45.19704799999988,1.4810344497276084,67.16285979365077,0.6328852552602442,0.4937933793685779
